Name,Lat,Lon,Alt,Vbl,Stat,Units,Min Date,Max Date
Zurich,47.37162,8.54398,418,p,mean,hPa,1807-01-01,1827-12-31
BAS_p,47.5411,7.5835,316,p,daily,hPa,1807-01-01,1807-12-31
Gdansk 'Excel sheet by Rajmund Przybylak,54.35,18.53,8,p,point,hPa (SLP),1807-01-01,1807-12-31
