folder,ID,Name,Lat,Lon,Alt,Vbl,Stat,Units,Source,Link,year_start,year_end,n_records,n_unique_years,filepath
Turin,Turin,Turin,45.071,7.686,276,Tx,max,C,SMI,NA,1857,2009,55280,153,/scratch3/PALAEO-RA/daily_data/final/Turin/SMI_Turin_18570801-20091231_Tx_daily_qc.tsv
Zurich,Zurich_Bruegger,Zürich,47.371011,8.533664,420,Tx,max,C,GCOS,https://doi.org/10.1594/PANGAEA.948258,1860,1861,64,2,/scratch3/PALAEO-RA/daily_data/final/Zurich/GCOS_Zurich_Bruegger_18600701-18610331_Tx_daily_qc.tsv
Gais,AR02_Gais,Gais,47.363,9.454,920,Tx,max,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1861,1864,225,4,/scratch3/PALAEO-RA/daily_data/final/Gais/CHIMES_Gais_18610101-18640228_Tx_daily_qc.tsv
Winterthur,ZH03_Winterthur_Furrer,Winterthur,47.49922,8.72897,443,Tx,max,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1861,1864,868,4,/scratch3/PALAEO-RA/daily_data/final/Winterthur/CHIMES_Winterthur_Furrer_18610101-18640103_Tx_daily_qc.tsv
Kilkenny,ILMMT-Kilkenny,Kilkenny,52.654,-7.245,60,Tx,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1862,1864,540,3,/scratch3/PALAEO-RA/daily_data/final/Kilkenny/ILMMT_Kilkenny_18621201-18640531_Tx_daily.tsv
Bern,Bern_Simler,Bern,46.951229,7.439075,574,Tx,max,C,GCOS,https://doi.pangaea.de/10.1594/PANGAEA.948258,1863,1863,164,1,/scratch3/PALAEO-RA/daily_data/final/Bern/GCOS_Bern_Simler_18630601-18631130_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-FitzwilliamSquare,Dublin,53.336,-6.252,15.8,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1871,1937,24379,67,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-FitzwilliamSquare_Moore_18710101-19370930_Tx_daily_qc.tsv
Aberdeen,DWRUK_ABERDEEN,Aberdeen Observatory,57.16413,-2.10082,20,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1164,4,/scratch3/PALAEO-RA/daily_data/final/Aberdeen/WRDv2-2_Aberdeen_18720114-18750331_Tx_daily_qc.tsv
Ardrossan,DWRUK_ARDROSSAN,Ardrossan,55.64029,-4.81653,2,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1147,4,/scratch3/PALAEO-RA/daily_data/final/Ardrossan/WDRv2.2_Ardrossan_18720114-18750331_Tx_daily.tsv
Biarritz,DWRUK_BIARRITZ,Biarritz,43.483484,-1.567955,39,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1090,4,/scratch3/PALAEO-RA/daily_data/final/Biarritz/WRDv2-2_Biarritz_18720114-18750331_Tx_daily_qc.tsv
BirrCastle,ILMMT-BirrCastle,BirrCastle,53.095,-7.922,50,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1872,1911,14213,40,/scratch3/PALAEO-RA/daily_data/final/BirrCastle/ILMMT_BirrCastle_18720501-19110331_Tx_daily_qc.tsv
Brest,DWRUK_BREST,Brest (St. Mathieu),48.329859,-4.770851,45,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1090,4,/scratch3/PALAEO-RA/daily_data/final/Brest/WRDv2-2_Brest_18720114-18750331_Tx_daily_qc.tsv
Cambridge,DWRUK_CAMBRIDGE,Cambridge Observatory,52.21687,0.09513,6,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,997,4,/scratch3/PALAEO-RA/daily_data/final/Cambridge/WRDv2-2_Cambridge_18720701-18750331_Tx_daily.tsv
CapGrisNez,DWRUK_CAPGRISNEZ,Cap Gris Nez,50.87087,1.585211,12,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1099,4,/scratch3/PALAEO-RA/daily_data/final/CapGrisNez/WRDv2-2_Cap-Griz-Nez_18720114-18750331_Tx_daily_qc.tsv
Donaghadee,DWRUK_DONAGHADEE,Donaghadee,54.64,-5.53,9,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,994,4,/scratch3/PALAEO-RA/daily_data/final/Donaghadee/WRDv2-2_Donaghadee_18720705-18750331_Tx_daily.tsv
Dover,DWRUK_DOVER,Dover,51.11587,1.31076,39,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1162,4,/scratch3/PALAEO-RA/daily_data/final/Dover/WRDv2-2_Dover_18720114-18750331_Tx_daily.tsv
Holyhead,DWRUK_HOLYHEAD,Holyhead,53.315922,-4.634486,220,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1148,4,/scratch3/PALAEO-RA/daily_data/final/Holyhead/WRDv2-2_Holyhead_18720115-18750331_Tx_daily.tsv
Ile-d-Aix,DWRUK_ROCHEFORT,Rochefort (Ile de Aix),46.020193,-1.172830,0,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1041,4,/scratch3/PALAEO-RA/daily_data/final/Ile-d-Aix/WRDv2-2_Ile-d-Aix_18720115-18750331_Tx_daily.tsv
Kingstown,DWRUK_KINGSTOWN,Kingstown,53.29650,-6.13423,19,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,987,4,/scratch3/PALAEO-RA/daily_data/final/Kingstown/WRDv2-2_Kingstown_18720713-18750331_Tx_daily.tsv
Leith,DWRUK_LEITH,Leith Links,55.97082,-3.16255,294,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1164,4,/scratch3/PALAEO-RA/daily_data/final/Leith/WRDv2-2_Leith_18720114-18750331_Tx_daily.tsv
Liverpool,DWRUK_LIVERPOOL,Bidston Observatory,53.400735,-3.074226,30,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1146,4,/scratch3/PALAEO-RA/daily_data/final/Liverpool/WRDv2-2_Liverpool_18720114-18750331_Tx_daily.tsv
London,DWRUK_LONDON,London (Westminster),51.497665,-0.134093,42,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1168,4,/scratch3/PALAEO-RA/daily_data/final/London/WRDv2-2_London_18720114-18750331_Tx_daily.tsv
Lorient,DWRUK_LORIENT,Lorient (Grognon),47.652361,-3.502169,13,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1874,974,3,/scratch3/PALAEO-RA/daily_data/final/Lorient/WRDv2-2_Lorient_18720114-18741227_Tx_daily.tsv
Moville,DWRUK_MOVILLE,Moville,55.19165,-7.04260,40,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1167,4,/scratch3/PALAEO-RA/daily_data/final/Moville/WRDv2-2_Moville_18720114-18750331_Tx_daily.tsv
Nairn,DWRUK_NAIRN,Nairn,57.577607,-3.895321,18,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1151,4,/scratch3/PALAEO-RA/daily_data/final/Nairn/WRDv2-2_Nairn_18720114-18750331_Tx_daily.tsv
Nottingham,DWRUK_NOTTINGHAM,Nottingham,52.93741,-1.19700,51,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,985,4,/scratch3/PALAEO-RA/daily_data/final/Nottingham/WRDv2-2_Nottingham_18720701-18750331_Tx_daily.tsv
Oxford,DWRUK_OXFORD,Oxford,51.7612,-1.26399,63,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,998,4,/scratch3/PALAEO-RA/daily_data/final/Oxford/WRDv2-2_Oxford_18720701-18750331_Tx_daily.tsv
Paris,DWRUK_PARIS,Paris (Montsouris),48.821700,2.337810,60,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,720,4,/scratch3/PALAEO-RA/daily_data/final/Paris/WRDv2-2_Paris_18721017-18750130_Tx_daily.tsv
Pembrokeshire,DWRUK_PEMBROKE,St. Ann's Head,51.682,-5.176,13,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1162,4,/scratch3/PALAEO-RA/daily_data/final/Pembrokeshire/WRDv2-2_Pembroke_18720114-18750331_Tx_daily.tsv
Plymouth,DWRUK_PLYMOUTH,Plymouth,50.37322,-4.1319,53,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1165,4,/scratch3/PALAEO-RA/daily_data/final/Plymouth/WRDv2-2_Plymouth_18720114-18750331_Tx_daily.tsv
Portishead,DWRUK_PORTISHEAD,Portishead,51.488,-2.764,26,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,989,4,/scratch3/PALAEO-RA/daily_data/final/Portishead/WRDv2-2_Portishead_18720703-18750331_Tx_daily.tsv
Portsmouth,DWRUK_PORTSMOUTH,Portsmouth Navigation School,50.80017,-1.10543,28,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1873,710,2,/scratch3/PALAEO-RA/daily_data/final/Portsmouth/WRDv2-2_Portsmouth_18720114-18731231_Tx_daily.tsv
RochesPoint,ILMMT-RochesPoint,RochesPoint,51.795,-8.252,13.1,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1872,1920,17872,49,/scratch3/PALAEO-RA/daily_data/final/RochesPoint/ILMMT_RochesPoint_18720101-19201231_Tx_daily_qc.tsv
RochesPoint,DWRUK_ROCHESPOINT,Roches Point,51.793124,-8.254541,8,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1140,4,/scratch3/PALAEO-RA/daily_data/final/RochesPoint/WRDv2-2_Roches-Point_18720114-18750331_Tx_daily_qc.tsv
Scarborough,DWRUK_SCARBOROUGH,Scarborough,54.28091,-0.39832,35.05,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1157,4,/scratch3/PALAEO-RA/daily_data/final/Scarborough/WRDv2-2_Scarborough_18720114-18750331_Tx_daily.tsv
Scilly,DWRUK_SCILLY,St. Mary's Signal Station,49.912044,-6.322629,2,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1159,4,/scratch3/PALAEO-RA/daily_data/final/Scilly/WRDv2-2_Scilly_18720114-18750331_Tx_daily.tsv
Shields,DWRUK_SHIELDS,North Shields,55.01,-1.45,23,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1160,4,/scratch3/PALAEO-RA/daily_data/final/Shields/WRDv2-2_Shields_18720114-18750331_Tx_daily.tsv
Sumburgh,DWRUK_SUMBURGH,Sumburgh Head (Dunrossness),59.93410,-1.29033,4,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,259,4,/scratch3/PALAEO-RA/daily_data/final/Sumburgh/WRDv2-2_Sumburgh_18720115-18750108_Tx_daily.tsv
Thurso,DWRUK_THURSO,Thurso,58.59,-3.52,25,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1149,4,/scratch3/PALAEO-RA/daily_data/final/Thurso/WRDv2-2_Thurso_18720114-18750331_Tx_daily.tsv
Toulon,DWRUK_TOULON,Toulon,43.05240,5.85483,132,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1034,4,/scratch3/PALAEO-RA/daily_data/final/Toulon/WRDv2-2_Toulon_18720115-18750331_Tx_daily.tsv
Valentia,DWRUK_VALENTIA,Valentia,51.938331,-10.241007,39,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1156,4,/scratch3/PALAEO-RA/daily_data/final/Valentia/WRDv2-2_Valentia_18720114-18750331_Tx_daily_qc.tsv
Wick,DWRUK_WICK,Wick,58.442519,-3.090779,33,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1133,4,/scratch3/PALAEO-RA/daily_data/final/Wick/WRDv2-2_Wick_18720114-18750331_Tx_daily.tsv
Yarmouth,DWRUK_YARMOUTH,Yarmouth,52.603617,1.736098,2,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,1162,4,/scratch3/PALAEO-RA/daily_data/final/Yarmouth/WRDv2-2_Yarmouth_18720114-18750331_Tx_daily.tsv
York,DWRUK_YORK,York,53.96118,-1.08768,21,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1872,1875,944,4,/scratch3/PALAEO-RA/daily_data/final/York/WRDv2-2_York_18720822-18750331_Tx_daily.tsv
Stornoway,DWRUK_STORNOWAY,Stornoway,58.21,-6.39,34,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1873,1875,787,3,/scratch3/PALAEO-RA/daily_data/final/Stornoway/WRDv2-2_Stornoway_18730101-18750331_Tx_daily.tsv
HurstCastle,DWRUK_HURSTCASTLE,Hurst Castle,50.70666,-1.55117,1,Tx,maximum,C,DWR_UKMO,DOI 10.5281/zenodo.5940391,1874,1875,349,2,/scratch3/PALAEO-RA/daily_data/final/HurstCastle/WRDv2-2_Hurst-Castle_18740328-18750331_Tx_daily.tsv
BirrCastle,ILMMT-BirrCastle,BirrCastle,53.095,-7.922,50,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1880,1920,14969,41,/scratch3/PALAEO-RA/daily_data/final/BirrCastle/ILMMT_BirrCastle_18800101-19201231_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-BotanicGardens_Moore,Dublin,53.372,-6.721,18,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1880,1880,444,1,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-BotanicGardens_Moore_18800516-18801231_Tx_subdaily.tsv
Blackrock,ILMMT-Blackrock,Blackrock,51.9,-8.4,11,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1881,1890,3471,10,/scratch3/PALAEO-RA/daily_data/final/Blackrock/ILMMT_Blackrock_18810701-18901231_Tx_daily_qc.tsv
Killarney,ILMMT-Killarney,Killarney,52.062,-9.507,20.7,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1881,1932,10839,31,/scratch3/PALAEO-RA/daily_data/final/Killarney/ILMMT_Killarney_18810501-19330131_Tx_daily_qc.tsv
CabezaLaVaca,BACVAC1,Extremadura-Cabeza_la_Vaca,38.086667,-6.421111,658,Tx,maximum,C,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1882,1883,322,2,/scratch3/PALAEO-RA/daily_data/final/CabezaLaVaca/EMOSSv2_Cabeza-la-Vaca_18820106-18831231_Tx_daily.tsv
Dublin,ILMMT-Dublin-BotanicGardens_NLI,Dublin,53.372,-6.721,18,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1882,1952,25245,71,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-BotanicGardens_NLI_18821029-19520726_Tx_daily_qc.tsv
ValenciaDelVentoso,BAVVEN1,Extremadura-Valencia_del_Ventoso,38.265278,-6.474444,500,Tx,maximum,C,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1882,1883,488,2,/scratch3/PALAEO-RA/daily_data/final/ValenciaDelVentoso/EMOSSv2_Valencia-del-Ventoso_18820101-18831130_Tx_daily_qc.tsv
BenNevis,BEN NEVIS SUMMIT OBSERVATORY,Weather-Rescue-Data-v2-2_Ben-Nevis,56.8,-5,1345,Tx,maximum,C,Ed Hawkins. (2024). ed-hawkins/weather-rescue-data: Weather Rescue Data v2.2 (v2.2). Zenodo.,https://doi.org/10.5281/zenodo.11001125,1883,1904,7609,22,/scratch3/PALAEO-RA/daily_data/final/BenNevis/WRDv2-2_Ben-Nevis_18831201-19040930_Tx_daily_qc.tsv
Belmullet,ILMMT-Belmullet,Belmullet,54.223,-9.988,5,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1884,1920,13149,37,/scratch3/PALAEO-RA/daily_data/final/Belmullet/ILMMT_Belmullet_18840930-19201231_Tx_daily_qc.tsv
MalinHead,ILMMT-MalinHead,MalinHead,55.381,-7.373,61,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1885,1920,13142,36,/scratch3/PALAEO-RA/daily_data/final/MalinHead/ILMMT_MalinHead_18850101-19201231_Tx_daily_qc.tsv
Groningen,KNMI-006_Groningen,Groningen,53.18,6.6,7,Tx,max,C,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1892,1905,5146,14,/scratch3/PALAEO-RA/daily_data/final/Groningen/KNMI_Groningen_18920101-19051231_Tx_subdaily_qc.tsv
Valentia,ILMMT-Valentia_Caherciveen,Valentia_Caherciveen,51.939,-10.244,14,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1892,1920,10521,29,/scratch3/PALAEO-RA/daily_data/final/Valentia/ILMMT_Valentia_Caherciveen_18920312-19201231_Tx_daily_qc.tsv
Istanbul,Halkali_Agricultural_School,Halkali Agricultural School,41.03,28.78,119,Tx,max,C,Yilmaz,https://doi.org/10.5285/c6e27bda1fc849c098a7fff7ff69fd5a,1896,1917,6931,22,/scratch3/PALAEO-RA/daily_data/final/Istanbul/Yilmaz_Istanbul_18961213-19171231_Tx_subdaily_qc.tsv
Oxford,Europe_Oxford_1,Oxford,51.77,-1.27,63,dd,point,degree,PALAEO-RA,,1666,1683,536,5,/scratch3/PALAEO-RA/daily_data/final/Oxford/PALAEO-RA_Oxford_1_16660704-16830710_dd_subdaily_qc.tsv
London,London_Locke,London,51.76,0.21,42,dd,point,dd,Cornes,doi: 10.6084/m9.figshare.24242302.v1,1672,1675,14,3,/scratch3/PALAEO-RA/daily_data/final/London/Cornes_London_Locke_16720131-16750613_dd_subdaily.tsv
Leiden,KNMI-Leiden,Leiden,52.160114,4.497010,2,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1697,1698,723,2,/scratch3/PALAEO-RA/daily_data/final/Leiden/KNMI_Leiden_16970201-16981231_dd_daily_qc.tsv
Halle,Halle,Halle,51.483056,11.966667,102,dd,point,degree,"PALAEO-RA, Ephemeris Barometrico Meteorologica",,1700,1700,441,1,/scratch3/PALAEO-RA/daily_data/final/Halle/PALAEO-RA_Halle_17000101-17001231_dd_subdaily_qc.tsv
Jena,Europe_Jena,Jena,50.927054,11.589237,150,dd,point,degree,PALAEO-RA,,1702,1702,365,1,/scratch3/PALAEO-RA/daily_data/final/Jena/PALAEO-RA_Jena_17020101-17021231_dd_subdaily_qc.tsv
Kaliningrad,Kaliningrad,Kaliningrad,54.716667,20.500000,23,dd,point,degree,PALAEO-RA,,1702,1702,1091,1,/scratch3/PALAEO-RA/daily_data/final/Kaliningrad/PALAEO-RA_Kaliningrad_17020101-17021231_dd_subdaily_qc.tsv
Montpellier,Montpellier,Montpellier,43.61077,3.876716,57,dd,point,degree,PALAEO-RA,,1705,1748,1843,17,/scratch3/PALAEO-RA/daily_data/final/Montpellier/PALAEO-RA_Montpellier_17050203-17480624_dd_subdaily_qc.tsv
Delft,Delft,Lenke_Delft,43.2965,5.36978,44,dd,point,degree,"Untersuchung der ältesten Temperaturmessungen mit Hilfe des strengen Winters 1708-1709, Walter Lenke",,1708,1708,93,1,/scratch3/PALAEO-RA/daily_data/final/Delft/PALAEO-RA_Delft_Lenke_17081001-17081231_dd_daily.tsv
Breslau,Breslau,Wroclaw,51.11,17.04,117,dd,point,degree,PALAEO-RA,,1717,1726,10414,10,/scratch3/PALAEO-RA/daily_data/final/Breslau/PALAEO-RA_Breslau-Wroclaw_17170701-17261231_dd_subdaily.tsv
Nuernberg,Kanold_Nuernberg,Nürnberg,49.450000,11.083333,316,dd,point,degree,PALAEO-RA,,1718,1730,14046,13,/scratch3/PALAEO-RA/daily_data/final/Nuernberg/PALAEO-RA_Nuernberg_17181221-17300630_dd_subdaily_qc.tsv
Zurich,Zürich,ZH01_Zurich_Scheuchzer,47.371620,8.543980,418,dd,point,degree,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1718,1728,6250,10,/scratch3/PALAEO-RA/daily_data/final/Zurich/CHIMES_Zurich_Scheuchzer_17180101-17281231_dd_subdaily_qc.tsv
Loebau,Kanold-Loebau,Lausitz,51.083,14.667,260,dd,point,degree,PALAEO-RA,,1720,1730,3712,11,/scratch3/PALAEO-RA/daily_data/final/Loebau/PALAEO-RA_Loebau_17200101-17300630_dd_daily.tsv
Berlin,Europe_Berlin_1,Berlin,52.5656,13.3106,36,dd,point,degree,PALAEO-RA,,1721,1734,454,7,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Kirch_17210217-17341227_dd_subdaily_qc.tsv
Berlin,Berlin_Jablonski,Berlin,52.5656,13.3106,36,dd,point,degree,PALAEO-RA,,1725,1727,2223,3,/scratch3/PALAEO-RA/daily_data/final/Berlin/PALAEO-RA_Berlin_Jablonski_17250112-17270111_dd_subdaily_qc.tsv
Warsaw,Warsaw,Warsaw,52.229676,21.012229,124,dd,point,degree,PALAEO-RA,,1725,1728,1456,4,/scratch3/PALAEO-RA/daily_data/final/Warsaw/PALAEO-RA_Warsaw_17250101-17281231_dd_daily_qc.tsv
Breda,KNMI-56_Breda,Breda,51.57,4.77,3,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1726,1741,10148,16,/scratch3/PALAEO-RA/daily_data/final/Breda/KNMI_Breda_17260101-17410218_dd_subdaily_qc.tsv
Utrecht,KNMI-43_Utrecht,Utrecht43,52.09,5.12,5,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1728,1739,12973,12,/scratch3/PALAEO-RA/daily_data/final/Utrecht/KNMI_Utrecht43_17280101-17391231_dd_subdaily_qc.tsv
Wittenberg,Europe_Wittenberg_1,Wittenberg,51.866667,12.800000,72,dd,point,degree,PALAEO-RA,,1728,1729,976,2,/scratch3/PALAEO-RA/daily_data/final/Wittenberg/PALAEO-RA_Wittenberg_17280320-17290321_dd_subdaily_qc.tsv
Nuernberg,Europe_Nuernberg,Nuremberg,49.452102,11.076665,316,dd,point,degree,PALAEO-RA,,1732,1743,4323,12,/scratch3/PALAEO-RA/daily_data/final/Nuernberg/PALAEO-RA_Nuernberg_17320101-17431231_dd_daily_qc.tsv
Haarlem,KNMI-Haarlem,Haarlem,52.38,4.64,5,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1735,1840,65783,61,/scratch3/PALAEO-RA/daily_data/final/Haarlem/KNMI_Haarlem_17350101-18401231_dd_subdaily_qc.tsv
Zwanenburg,KNMI-Zwanenburg,Zwanenburg,52.32,4.74,1,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1738,1860,121308,115,/scratch3/PALAEO-RA/daily_data/final/Zwanenburg/KNMI_Zwanenburg_17380101-18601231_dd_subdaily_qc.tsv
Leiden,KNMI-Leiden,Leiden,52.16,4.5,2,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1740,1758,20777,19,/scratch3/PALAEO-RA/daily_data/final/Leiden/KNMI_Leiden_17400101-17581231_dd_subdaily_qc.tsv
Alkmaar,KNMI-Alkmaar,Alkmaar,52.63,4.75,1,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1741,1748,7055,8,/scratch3/PALAEO-RA/daily_data/final/Alkmaar/KNMI_Alkmaar_17410501-17481130_dd_subdaily_qc.tsv
Bergen,KNMI-Bergen,Bergen,52.67,4.72,1,dd,point,degree,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1741,1746,5181,6,/scratch3/PALAEO-RA/daily_data/final/Bergen/PALAEO-RA_Bergen_17410901-17460531_dd_subdaily_qc.tsv
