folder,ID,Name,Lat,Lon,Alt,Vbl,Stat,Units,Source,Link,year_start,year_end,n_records,n_unique_years,filepath
BenNevis,BEN NEVIS SUMMIT OBSERVATORY,Weather-Rescue-Data-v2-2_Ben-Nevis,56.8,-5,1345,Tn,minimum,C,Ed Hawkins. (2024). ed-hawkins/weather-rescue-data: Weather Rescue Data v2.2 (v2.2). Zenodo.,https://doi.org/10.5281/zenodo.11001125,1883,1904,7609,22,/scratch3/PALAEO-RA/daily_data/final/BenNevis/WRDv2-2_Ben-Nevis_18831201-19040930_Tn_daily_qc.tsv
Belmullet,ILMMT-Belmullet,Belmullet,54.223,-9.988,5,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1884,1920,13148,37,/scratch3/PALAEO-RA/daily_data/final/Belmullet/ILMMT_Belmullet_18840930-19201231_Tn_daily_qc.tsv
MalinHead,ILMMT-MalinHead,MalinHead,55.381,-7.373,61,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1885,1920,13145,36,/scratch3/PALAEO-RA/daily_data/final/MalinHead/ILMMT_MalinHead_18850101-19201231_Tn_daily_qc.tsv
Groningen,KNMI-006_Groningen,Groningen,53.18,6.6,7,Tn,min,C,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,1892,1905,5060,14,/scratch3/PALAEO-RA/daily_data/final/Groningen/KNMI_Groningen_18920101-19051231_Tn_subdaily_qc.tsv
Valentia,ILMMT-Valentia_Caherciveen,Valentia_Caherciveen,51.939,-10.244,14,Tn,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1892,1920,10521,29,/scratch3/PALAEO-RA/daily_data/final/Valentia/ILMMT_Valentia_Caherciveen_18920312-19201231_Tn_daily_qc.tsv
Istanbul,Halkali_Agricultural_School,Halkali Agricultural School,41.03,28.78,119,Tn,min,C,Yilmaz,https://doi.org/10.5285/c6e27bda1fc849c098a7fff7ff69fd5a,1896,1917,6920,22,/scratch3/PALAEO-RA/daily_data/final/Istanbul/Yilmaz_Istanbul_18961213-19171231_Tn_subdaily_qc.tsv
DenHelder,KNMI-002_Den-Helder,Den-Helder,52.96,4.76,1,Tx,max,C,KNMI,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens/antieke-waarnemingen,190,1905,20054,56,/scratch3/PALAEO-RA/daily_data/final/DenHelder/KNMI_DenHelder_18501201-19051231_Tx_daily_qc.tsv
Paris,Paris_Rousseau,Paris_Rousseau,48.8217,2.3378,75,Tx,max,C,Rousseau,doi.org/10.37053/lameteorologie-2024-0083,1675,2023,125235,349,/scratch3/PALAEO-RA/daily_data/final/Paris/Rousseau_Paris_16751201-20231231_Tx_daily.tsv
Milan,Milan,Milan,45.47,9.19,150,Tx,max,C,"Maugeri, Maurizio et al. “Daily Milan temperature and pressure series (1763-1998): Completing and homogenising the data.” Climatic Change 53 (2002): 119-149.",https://doi.org/10.1023/A:1014923027396,1763,1949,68300,187,/scratch3/PALAEO-RA/daily_data/final/Milan/Maugeri-et-al_Milan_17630101-19491231_Tx_daily_qc.tsv
Padua,Padua,Padua,45.4,11.87,18,Tx,max,C,"Stefanini, Claudio; Becherini, Francesca; della Valle, Antonio; Camuffo, Dario (2024). Padua daily temperature 1725-2023. figshare. Dataset.",https://doi.org/10.6084/m9.figshare.25471507.v1,1774,1997,80992,223,/scratch3/PALAEO-RA/daily_data/final/Padua/Stefanini_Padua_17740101-19970531_Tx_daily_qc.tsv
