station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
DenHelder,Tx,DenHelder,1850-12-01,1905-12-31,20119,55.08,20119,1,1,0,1850-12-01..1905-12-31,/scratch3/PALAEO-RA/daily_data/final/DenHelder/DenHelder_18501201-19051231_Tx_daily_qc.tsv
DenHelder,dd,DenHelder,1848-12-01,1905-12-31,20849,57.08,20849,1,1,0,1848-12-01..1905-12-31,/scratch3/PALAEO-RA/daily_data/final/DenHelder/DenHelder_18481201-19051231_dd_subdaily.tsv
DenHelder,p,DenHelder,1850-12-01,1903-12-31,19388,53.08,19388,1,1,0,1850-12-01..1903-12-31,/scratch3/PALAEO-RA/daily_data/final/DenHelder/DenHelder_18501201-19031231_p_subdaily.tsv
DenHelder,rh,DenHelder,1850-12-01,1905-12-31,20119,55.08,20119,1,1,0,1850-12-01..1905-12-31,/scratch3/PALAEO-RA/daily_data/final/DenHelder/DenHelder_18501201-19051231_rh_subdaily.tsv
DenHelder,rr,DenHelder,1850-12-01,1905-12-31,20119,55.08,20119,1,1,0,1850-12-01..1905-12-31,/scratch3/PALAEO-RA/daily_data/final/DenHelder/DenHelder_18501201-19051231_rr_subdaily.tsv
DenHelder,ta,DenHelder,1850-12-01,1905-12-31,20119,55.08,20119,1,1,0,1850-12-01..1905-12-31,/scratch3/PALAEO-RA/daily_data/final/DenHelder/DenHelder_18501201-19051231_ta_subdaily.tsv
DigiHom_Genf,ta,Geneva,1798-12-01,1860-11-30,22645,62.00,22645,1,1,0,1798-12-01..1860-11-30,/scratch3/PALAEO-RA/daily_data/final/Geneva/DigiHom_Genf_17981201-18601130_ta_subdaily_qc.tsv
Dijon,dd,Dijon,1783-01-01,1784-12-31,731,2.00,731,1,1,0,1783-01-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Dijon/Dijon_17830101-17841231_dd_subdaily_qc.tsv
Dijon,eee,Dijon,1783-01-01,1784-12-31,731,2.00,731,1,1,0,1783-01-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Dijon/Dijon_17830101-17841231_eee_subdaily.tsv
Dijon,p,Dijon,1783-01-01,1784-12-31,731,2.00,731,1,1,0,1783-01-01..1784-12-31,/scratch3/PALAEO-RA/daily_data/final/Dijon/Dijon_17830101-17841231_p_subdaily_qc.tsv
