dirname,filename,variable,year
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1981
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1982
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1983
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1984
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1985
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1986
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1987
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1988
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1989
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1990
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1991
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1992
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1993
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1994
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1995
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1996
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1997
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1998
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1999
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2000
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2001
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2002
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2003
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2004
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2005
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2006
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2007
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2008
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,2009
