ID	Name	Lat	Lon
ASN00016043	WOOMERA (SOUTH GAP STATION)	-31.6338	137.6218
ASN00016055	YARDEA	-32.3792	135.5247
ASN00016056	YUDNAPINNA	-32.1232	137.1505
ASN00016061	WHITTATA	-31.735	137.42
ASN00016063	TARCOOLA (WILGENA DAMS)	-30.7283	134.6842
ASN00016067	MOUNT IVE	-32.4398	136.0671
ASN00017003	ANGORICHINA HOSTEL	-31.1281	138.5594
ASN00017004	ANNA CREEK	-28.8921	136.1688
ASN00017008	ARROWIE	-30.8536	139.2933
ASN00017011	BELTANA	-30.8133	138.4133
ASN00017012	BELTANA STATION	-30.8246	138.3822
ASN00017014	BLINMAN	-31.0939	138.6786
ASN00017018	COPLEY	-30.5564	138.4222
ASN00017019	CORDILLO DOWNS	-26.7061	140.6261
ASN00017020	MUNGERANIE (COWARIE)	-27.7017	138.3361
ASN00017024	MARREE (FARINA)	-30.066	138.2739
ASN00017027	INNAMINCKA POLICE CAMP	-27.8	140.7333
ASN00017028	INNAMINCKA STATION	-27.724	140.7633
ASN00017031	MARREE COMPARISON	-29.6481	138.0637
ASN00017034	MOUNT LYNDHURST	-30.1828	138.7093
ASN00017037	MULOORINA STATION (MULOORINA H	-29.239	137.9058
ASN00017048	GAMMON RANGES (UMBERATANA)	-30.2402	139.13
ASN00017053	WILLIAM CREEK	-28.9062	136.3386
ASN00017054	BLINMAN (WIRREALPA)	-31.1278	138.9618
ASN00017056	GAMMON RANGES (WOOLTANA)	-30.4132	139.4198
ASN00017060	TILCHA	-29.605	140.89
ASN00017061	STUARTS CREEK	-29.7	137.04
ASN00017062	CADELGA	-26.09	140.4067
ASN00017063	KANOWANA	-27.8383	139.6233
ASN00017065	EDIACARA	-30.3983	137.9033
ASN00017066	KILLALPANINNA	-28.6	138.5667
ASN00017067	MUNGERANIE	-28.0183	138.6637
ASN00017075	DALHOUSIE SPRINGS	-26.5167	135.4617
ASN00017080	LYNDHURST (FREELINGWELL)	-29.95	139.2333
ASN00017087	HADDON	-26.3517	140.8283
ASN00017088	PEECHYWARRINA	-29.0317	138.1917
ASN00017089	MUNGERANIE (KALAMURINA)	-27.7205	138.2548
ASN00017090	MONTACOLLINA	-29.4	139.9833
ASN00017092	WINTABATINGANA	-31.3333	138.2333
ASN00017094	PARALLANA	-30.2067	139.4558
ASN00017095	ALTON DOWNS	-26.1533	138.9383
ASN00017100	BLANCHEWATER STATION	-29.55	139.4667
ASN00017105	QUINYAMBIE	-30.215	140.9917
ASN00017109	THE PEAKE	-28.0767	135.9042
ASN00018003	BRAMFIELD POST OFFICE	-33.625	135.9983
ASN00018019	COULTA	-34.3853	135.4697
ASN00018022	COWELL	-33.6772	136.9116
ASN00018030	FOWLERS BAY	-31.99	132.4372
ASN00018045	SHERINGA (LAKE HAMILTON)	-33.9534	135.2682
ASN00018050	MILTALIE (POODRA)	-33.5983	136.8433
ASN00018056	MOUNT WEDGE	-33.4839	135.1592
ASN00018069	ELLISTON	-33.6501	134.888
ASN00018070	PORT LINCOLN	-34.7225	135.8558
ASN00018078	STOKES	-34.2942	135.9267
ASN00018079	STREAKY BAY	-32.7963	134.2116
ASN00018091	TUMBY BAY (WARRATTA VALE)	-34.2617	136.2092
ASN00018106	NULLARBOR	-31.4492	130.8976
ASN00018128	KARCULTABY	-32.7656	134.975
ASN00018142	YALATA	-31.9311	132.365
ASN00018153	IRON KNOB (CORUNNA)	-32.6858	137.1208
ASN00018155	LAKE WANGARY	-34.5517	135.4933
ASN00018157	UNO (GAWLER RANGES)	-32.6417	136.69
ASN00018159	WANGARALEEDNIE	-33.6833	136.6183
ASN00018160	YADNARIE	-33.7167	136.4175
ASN00019001	APPILA	-33.0524	138.4277
ASN00019002	QUORN (DEPOT FLAT)	-32.2507	137.9776
ASN00019003	OLD BARATTA HOMESTEAD	-31.9767	139.105
ASN00019004	BELTON (SHADOW VALE)	-32.2425	138.7105
ASN00019005	ORROROO (BLACK ROCK)	-32.8247	138.6907
ASN00019006	BOOLEROO CENTRE	-32.881	138.3519
ASN00019007	BOOLEROO (WIMONT)	-32.7775	138.341
ASN00019009	CARRIETON	-32.4244	138.5304
ASN00019010	CRADOCK	-32.0695	138.4948
ASN00019011	MURRAY TOWN (DOUGHBOY CREEK)	-32.9211	138.2202
ASN00019013	CARRIETON (EURELIA)	-32.5373	138.5626
ASN00019016	HAMMOND	-32.5201	138.3149
ASN00019017	HAWKER	-31.8846	138.435
ASN00019018	HAWKER (HOLOWILENA)	-31.8777	138.8372
ASN00019020	HORSESHOE RANGES	-32.3333	138.3833
ASN00019021	JOHNBURGH POST OFFICE	-32.4561	138.705
ASN00019023	MANNANARIE POST OFFICE	-33.0453	138.6178
ASN00019024	MELROSE	-32.8294	138.1907
ASN00019026	MUNDALLIO	-32.4686	137.8817
ASN00019029	PORT AUGUSTA (NECTAR BROOK)	-32.6944	137.9594
ASN00019030	QUORN (OLIVE GROVE)	-32.4683	138.0159
ASN00019032	ORROROO	-32.7335	138.6135
ASN00019034	PETERBOROUGH	-32.9737	138.8375
ASN00019036	PORT AUGUSTA POST OFFICE	-32.5	137.7667
ASN00019037	PORT GERMEIN	-33.0216	138.0002
ASN00019038	QUORN	-32.3538	138.0371
ASN00019040	QUORN (ROUND HILL)	-32.3114	138.2564
ASN00019042	MELROSE (PARA GUMS)	-32.8454	138.2116
ASN00019044	PORT GERMEIN (TELOWIE)	-33.0617	138.055
ASN00019046	HAWKER (WARCOWIE)	-31.775	138.6529
ASN00019048	WILMINGTON	-32.6521	138.1003
ASN00019050	HAWKER (WILSON)	-31.9883	138.3424
ASN00019052	WIRRABARA	-33.0338	138.2686
ASN00019053	WIRRABARA FOREST	-33.0856	138.2211
ASN00019056	CARRIETON (YACKARA)	-32.31	138.5233
ASN00019058	CARRIETON (YANYARRIE)	-32.3294	138.4706
ASN00019062	YONGALA	-33.0287	138.7489
ASN00019072	AMYTON EAST	-32.55	138.4167
ASN00019074	CAVENAGH WEST	-32.6833	138.9667
ASN00019075	PETERBOROUGH (DAWSON)	-32.8056	138.9739
ASN00019079	PORT AUGUSTA OSTRICH FARM	-32.4192	137.8189
ASN00019080	CARRIETON (PAMATTA)	-32.3139	138.6397
ASN00019081	STIRLING NORTH RAILWAY SIDING	-32.5033	137.81
ASN00019085	BAROOTA (MAMBRAY CREEK)	-32.8294	137.9869
ASN00019086	BAROOTA (MOPETA)	-32.8786	138.0158
ASN00019087	OODLAWIRRA (CAVENAGH)	-32.7189	139.0164
ASN00019088	CROZIER (FRESHWATER WELL)	-32.2892	137.8267
ASN00019089	HAMMOND (RIX)	-32.5167	138.3094
ASN00019090	QUORN (KINGSWOOD)	-32.3961	138.1339
ASN00019091	MOUNT REMARKABLE	-32.7981	138.2161
ASN00019093	CRADOCK (WIRREANDA)	-32.0361	138.4511
ASN00019094	YONGALA NATIONAL PARK	-33.0333	138.75
ASN00019096	QUORN RAILWAY	-32.3461	138.0397
ASN00019113	EDEOWIE	-31.448	138.4531
ASN00020000	BIMBOWRIE	-32.0498	140.162
ASN00020001	BOOLCOOMATTA	-31.9695	140.5436
ASN00020002	COCKBURN	-32.076	140.9969
ASN00020004	CURNOMONA (CURNAMONA)	-31.6516	139.5491
ASN00020006	FROME DOWNS	-31.2196	139.7763
ASN00020008	KOOMOOLOO	-33.5667	139.7
ASN00020010	KOONAMORE	-32.0646	139.382
ASN00020013	MANNA HILL	-32.4292	139.9887
ASN00020017	MUTOOROO	-32.4467	140.9233
ASN00020021	YUNTA (PARATOO)	-32.7268	139.4002
ASN00020023	WAUKARINGA	-32.3	139.45
ASN00020026	YUNTA	-32.5819	139.5611
ASN00020029	OUTALPA	-32.2167	140.15
ASN00020047	NETLEY	-32.7333	139.8333
ASN00021000	BRINKWORTH (ANAMA PARK)	-33.7321	138.4922
ASN00021001	AUBURN	-34.026	138.6846
ASN00021002	BALAKLAVA	-34.1424	138.4225
ASN00021003	BLYTH	-33.845	138.4901
ASN00021008	BUNDALEER FOREST RESERVE	-33.2758	138.575
ASN00021010	BRINKWORTH (BUNGAREE)	-33.7459	138.5628
ASN00021011	BURRA (KOORINGA)	-33.6833	138.9333
ASN00021012	BUTE	-33.8682	138.01
ASN00021013	CALTOWIE	-33.1851	138.4968
ASN00021014	CLARE POST OFFICE	-33.8364	138.6125
ASN00021015	SNOWTOWN (CONDOWIE)	-33.7045	138.2927
ASN00021016	CRYSTAL BROOK	-33.353	138.2057
ASN00021019	FARRELL FLAT	-33.8315	138.7917
ASN00021020	GEORGETOWN	-33.359	138.393
ASN00021021	GLADSTONE	-33.2705	138.357
ASN00021023	HALLETT	-33.4111	138.894
ASN00021025	CLARE (HILL RIVER)	-33.8347	138.6532
ASN00021026	HOYLETON	-34.0391	138.5579
ASN00021027	JAMESTOWN	-33.2036	138.6059
ASN00021028	HALLETT (KETCHOWLA)	-33.2917	139.2161
ASN00021029	KOOLUNGA	-33.5867	138.3343
ASN00021031	LAURA	-33.1851	138.3001
ASN00021036	MUNDOORA	-33.5946	138.0832
ASN00021037	NARRIDY POST OFFICE	-33.4275	138.3019
ASN00021039	BUTE (NINNES)	-33.9686	138.0186
ASN00021041	BURRA (POONUNDA)	-33.5616	139.0979
ASN00021042	PORT BROUGHTON	-33.6029	137.9348
ASN00021043	PORT PIRIE NYRSTAR COMPARISON	-33.1708	138.0104
ASN00021044	PORT WAKEFIELD	-34.1848	138.1478
ASN00021045	REDHILL	-33.5407	138.2244
ASN00021046	SNOWTOWN	-33.7844	138.2133
ASN00021050	TEROWIE	-33.1457	138.9208
ASN00021053	WANDEARAH NORTH	-33.3528	138.0311
ASN00021054	WATERVALE	-33.9606	138.6446
ASN00021055	WHYTE YARCOWIE	-33.2296	138.8844
ASN00021057	YACKA	-33.5707	138.4503
ASN00021058	SPALDING (YAKILO)	-33.5375	138.6736
ASN00021062	HALLETT (OLD CANOWIE)	-33.3041	138.7553
ASN00021071	NELSHABY RESERVOIR	-33.1297	138.1111
ASN00021081	MINTARO (KADLUNGA)	-33.9333	138.6833
ASN00021082	LEIGHTON (BUCKLAND HILLS)	-33.6372	138.8289
ASN00021083	MOUNT BRYAN ESTATE	-33.5	138.9667
ASN00021084	PORT PIRIE (VALENCIA)	-33.32	138.0131
ASN00021088	NANTAWARRA (DIXON)	-34.0167	138.2833
ASN00021089	BUTE (LINCOLNFIELDS)	-33.7578	137.9797
ASN00021090	GEORGE (AYLESBURY FARM)	-33.3931	138.4328
ASN00021095	GEORGETOWN (SPRINGFIELD)	-33.3506	138.4689
ASN00021096	WARNERTOWN (WILLOW LODGE)	-33.2467	138.1469
ASN00021097	BURRA (WILDILDIE)	-33.6036	139.0719
ASN00021098	JAMESTOWN (WYLMHURST)	-33.1961	138.6036
ASN00022000	ARDROSSAN	-34.4228	137.9175
ASN00022002	CORNY POINT	-34.9152	137.0625
ASN00022003	CURRAMULKA	-34.6981	137.7116
ASN00022004	EDITHBURGH POST OFFICE	-35.0875	137.7433
ASN00022005	GREEN PLAINS WEST	-34	137.9
ASN00022006	KADINA	-33.9551	137.6953
ASN00022007	MAITLAND (WOODBURLIE)	-34.3167	137.5333
ASN00022008	MAITLAND	-34.3745	137.6733
ASN00022009	MINLATON	-34.7708	137.5952
ASN00022011	MOONTA	-34.0672	137.5925
ASN00022012	PASKEVILLE	-34.0402	137.9004
ASN00022013	PORT VICTORIA	-34.4951	137.4836
ASN00022017	STANSBURY	-34.9122	137.7977
ASN00022018	WAROOKA	-34.9906	137.3995
ASN00022019	MAITLAND (WEETULTA)	-34.2428	137.5908
ASN00022020	WALLAROO	-33.9323	137.6282
ASN00022022	PORT CLINTON (YARAROO)	-34.1447	138.0146
ASN00022023	YORKETOWN	-35.0203	137.6064
ASN00022024	WALLAROO (WEYMOUTH JILLA)	-33.9167	137.65
ASN00022026	STANSBURY (DALRYMPLE)	-34.9333	137.75
ASN00022027	CORNY POINT LIGHTHOUSE	-34.9	137.0333
ASN00022800	AMERICAN RIVER	-35.7729	137.7788
ASN00022801	CAPE BORDA COMPARISON	-35.7529	136.5938
ASN00022803	CAPE WILLOUGHBY	-35.8426	138.1327
ASN00022807	KINGSCOTE	-35.6569	137.6364
ASN00022810	PENNESHAW 2	-35.7	137.9
ASN00023000	ADELAIDE WEST TERRACE	-34.9254	138.5869
ASN00023005	ADELAIDE (GLEN OSMOND)	-34.9464	138.6519
ASN00023009	MALLALA	-34.4385	138.5114
ASN00023010	MITCHAM POST OFFICE	-34.9833	138.6167
ASN00023011	NORTH ADELAIDE	-34.9167	138.5956
ASN00023020	ROSEWORTHY AGRIC COLLEGE	-34.5267	138.6883
ASN00023021	ROSEWORTHY	-34.5318	138.7489
ASN00023023	ADELAIDE (SALISBURY BOWLING CL	-34.7674	138.6434
ASN00023026	ADELAIDE (POORAKA)	-34.8321	138.6124
ASN00023027	ADELAIDE (THORNDON PARK)	-34.8744	138.6858
ASN00023028	TWO WELLS	-34.5953	138.5156
ASN00023030	VIRGINIA SHEEDY ROAD	-34.6694	138.5592
ASN00023045	GAWLER (LOOS)	-34.6167	138.7
ASN00023050	STOCKYARD CREEK	-34.2833	138.5833
ASN00023067	GAWLER CHURCH HILL	-34.6	138.7333
ASN00023068	CASTAMBUL	-34.85	138.7333
ASN00023069	BROOKSIDE	-34.8833	138.6833
ASN00023070	WOODVILLE (BOWER)	-34.8833	138.5333
ASN00023071	WOODVILLE (BIRKS)	-34.8833	138.5667
ASN00023078	GAWLER COUNCIL DEPOT	-34.5915	138.7393
ASN00023095	HAMLEY BRIDGE	-34.3579	138.6836
ASN00023300	ANGASTON	-34.5033	139.0452
ASN00023302	COLLINGROVE	-34.55	139.0833
ASN00023303	FREELING RAILWAY	-34.45	138.8167
ASN00023305	GREENOCK	-34.4577	138.9277
ASN00023307	KAPUNDA	-34.3412	138.9155
ASN00023308	KAPUNDA WATER WORKS	-34.35	138.9167
ASN00023309	LYNDOCH	-34.5927	138.8684
ASN00023311	MARRABEL	-34.1444	138.877
ASN00023312	NURIOOTPA	-34.4747	138.9928
ASN00023313	LYNDOCH (PEWSEY VALE)	-34.6167	138.9833
ASN00023314	RIVERTON	-34.158	138.7483
ASN00023315	SADDLEWORTH	-34.0844	138.7815
ASN00023316	STOCKPORT	-34.3333	138.7333
ASN00023317	STOCKWELL	-34.4364	139.0542
ASN00023318	TANUNDA	-34.5169	138.9598
ASN00023319	TARLEE	-34.2778	138.7725
ASN00023343	ROSEDALE (TURRETFIELD RESEARCH	-34.5519	138.8342
ASN00023346	KAPUNDA RESERVOIR	-34.3	138.85
ASN00023352	KAPUNDA HOSPITAL	-34.35	138.9167
ASN00023363	ROWLAND FLAT 4	-34.5833	138.9333
ASN00023701	ASHBOURNE	-35.3114	138.7517
ASN00023704	BELAIR (STATE FLORA NURSERY)	-35.0077	138.6498
ASN00023705	BIRDWOOD	-34.8148	138.9474
ASN00023707	BRIDGEWATER	-35.0102	138.7602
ASN00023708	SECOND VALLEY (SPRING GROVE)	-35.5667	138.2333
ASN00023710	CLARENDON	-35.1087	138.6256
ASN00023712	DINGO VALE	-34.8667	138.8333
ASN00023713	ECHUNGA GOLF COURSE	-35.096	138.7887
ASN00023718	GOOLWA COUNCIL DEPOT	-35.4987	138.7638
ASN00023719	GUMERACHA	-34.8237	138.8859
ASN00023720	HAHNDORF	-35.0303	138.8148
ASN00023721	HAPPY VALLEY RESERVOIR	-35.0608	138.5647
ASN00023724	KANMANTOO	-35.0739	139.0036
ASN00023726	LOBETHAL	-34.9044	138.8742
ASN00023728	MACCLESFIELD	-35.189	138.8262
ASN00023730	MEADOWS	-35.1782	138.7629
ASN00023732	ADELAIDE (MORPHETT VALE)	-35.1351	138.5274
ASN00023733	MOUNT BARKER	-35.0639	138.8509
ASN00023737	MOUNT PLEASANT	-34.7735	139.0501
ASN00023739	NAIRNE	-35.0369	138.913
ASN00023740	OLD NOARLUNGA POST OFFICE	-35.185	138.5017
ASN00023741	NORMANVILLE	-35.4519	138.3227
ASN00023742	PORT ELLIOT CARAVAN PARK	-35.5299	138.6896
ASN00023744	SECOND VALLEY (POOLAMACCA)	-35.5359	138.234
ASN00023745	STIRLING	-35.0333	138.7167
ASN00023746	STONYFELL	-34.9333	138.6667
ASN00023747	STRATHALBYN	-35.256	138.8901
ASN00023748	ADELAIDE (TEA TREE GULLY COUNC	-34.8307	138.7051
ASN00023751	VICTOR HARBOR COMPARISON	-35.555	138.6217
ASN00023752	WILLIAMSTOWN	-34.6717	138.8885
ASN00023753	WILLUNGA	-35.2705	138.5591
ASN00023760	HINDMARSH VALLEY	-35.5	138.6167
ASN00023764	MOUNT LOFTY (HARDYS)	-34.9833	138.7167
ASN00023769	BATTUNGA	-35.1167	138.8667
ASN00023773	CAPE JERVIS LIGHTHOUSE	-35.6167	138.0833
ASN00023778	MOUNT TORRENS	-34.8833	138.9667
ASN00023779	STURT	-35.0167	138.5667
ASN00023782	YANKALILLA (WOODVALE)	-35.4833	138.3833
ASN00023793	MYLOR	-35.05	138.7667
ASN00023794	WARRAKILLA	-35.0667	138.7333
ASN00023795	WOODBURN	-35.3	138.9833
ASN00023797	PORT ELLIOTT	-35.5167	138.6667
ASN00023829	WOODSIDE	-34.9516	138.8754
ASN00024003	RENMARK IRRIGATION	-34.1658	140.7541
ASN00024012	OVERLAND CORNER	-34.1479	140.3256
ASN00024016	RENMARK	-34.1711	140.7494
ASN00024027	PARINGA	-34.1833	140.8
ASN00024503	BLANCHETOWN	-34.3522	139.6117
ASN00024508	CALLINGTON	-35.125	139.0433
ASN00024511	EUDUNDA	-34.1754	139.0847
ASN00024515	LANGHORNE CREEK	-35.2959	139.0328
ASN00024517	MANNUM COUNCIL DEPOT	-34.9145	139.301
ASN00024518	MENINGIE	-35.6902	139.3375
ASN00024519	MILANG	-35.4068	138.9701
ASN00024520	MORGAN POST OFFICE	-34.0333	139.6667
ASN00024521	MURRAY BRIDGE COMPARISON	-35.1234	139.2592
ASN00024530	SEDAN (SANDLETON)	-34.4584	139.3597
ASN00024531	SEDAN	-34.5719	139.2961
ASN00024538	WELLINGTON EAST	-35.3333	139.3833
ASN00024540	WELLINGTON STATION	-35.3	139.4
ASN00024541	DILKARA (FLORIETON)	-33.85	139.4167
ASN00024548	NORTH WEST BEND	-34.0667	139.8
ASN00024573	TRURO	-34.4085	139.1274
ASN00025015	PINNAROO	-35.268	140.9075
ASN00025501	BORDERTOWN	-36.3125	140.7718
ASN00025504	COONALPYN	-35.6984	139.8633
ASN00025510	MUNDULLA	-36.3667	140.7
ASN00025519	WOLSELEY	-36.3654	140.9096
ASN00025522	KONGAL	-36.2667	140.45
ASN00025533	CANNAWIGARA	-36.2833	140.6667
ASN00026000	BEACHPORT	-37.4861	140.0115
ASN00026005	CAPE NORTHUMBERLAND	-38.0573	140.6725
ASN00026007	FRANCES	-36.7124	140.9552
ASN00026012	KINGSTON SE	-36.8309	139.8526
ASN00026016	LUCINDALE POST OFFICE	-36.9731	140.3664
ASN00026018	MILLICENT	-37.5872	140.3426
ASN00026020	MOUNT GAMBIER POST OFFICE	-37.8333	140.7833
ASN00026023	NARACOORTE	-36.9564	140.7402
ASN00026024	NARACOORTE CAVE RANGE	-37.0333	140.8
ASN00026025	PENOLA POST OFFICE	-37.3803	140.8379
ASN00026026	ROBE COMPARISON	-37.1628	139.756
ASN00026046	MORAMBRO STATION	-36.7833	140.5833
ASN00026047	GLENCOE STATION	-37.7	140.6167
ASN00027004	CAPE YORK POST OFFICE	-10.7	142.5333
ASN00027005	COEN POST OFFICE	-13.9447	143.2006
ASN00027013	MCDONNELL STATION	-11.55	142.4667
ASN00027014	MEIN STATION	-13.1833	142.8
ASN00027015	MORETON TELEGRAPH STATION	-12.4536	142.6389
ASN00027021	THURSDAY ISLAND TOWNSHIP	-10.5831	142.2203
ASN00027052	PROUDFOOT SHOAL	-10.5333	141.45
ASN00028002	MAYTOWN	-16.05	144.3
ASN00028004	PALMERVILLE	-16.0008	144.0758
ASN00028007	MUSGRAVE	-14.7803	143.5036
ASN00029001	AUGUSTUS DOWNS STATION	-18.5447	139.8706
ASN00029003	AUCKLAND DOWNS STATION	-20.25	141.7667
ASN00029004	BURKETOWN POST OFFICE	-17.7425	139.5475
ASN00029005	BUNDA BUNDA	-20.0744	142.2089
ASN00029008	CLONCURRY MCILLWRAITH ST	-20.7089	140.5192
ASN00029012	CROYDON TOWNSHIP	-18.2044	142.2447
ASN00029013	DONORS HILL STATION	-18.7139	140.5472
ASN00029017	EULOLO STATION	-21.2333	141.55
ASN00029019	GILBERT RIVER POST OFFICE	-18.15	142.85
ASN00029022	GRANADA STATION	-20.0919	140.3675
ASN00029031	LAWN HILL	-18.5806	138.5811
ASN00029034	MCKINLAY ROADHOUSE	-21.2719	141.2892
ASN00029041	NORMANTON POST OFFICE	-17.6706	141.0672
ASN00029066	RIVERSLEIGH STATION	-19.0281	138.7408
ASN00029070	GREEN CREEK	-18.05	142
ASN00029071	FLORAVILLE DOWNS STATION	-18.2281	139.8739
ASN00029072	KARUMBA PILOT STATION	-17.4667	140.8333
ASN00029075	FORT CONSTANTINE STATION	-20.4747	140.5828
ASN00029097	DONALDSON STATION	-20.1	140.6333
ASN00029098	PENOLA DOWNS STATION	-21.5169	141.4478
ASN00029129	DEVONCOURT STATION	-21.215	140.2333
ASN00029132	MANFRED DOWNS STATION	-20.6556	142.1006
ASN00030007	CAMBRIDGE DOWNS STATION	-20.4333	142.9667
